id	x	y
1	15.55	28.65
2	14.9	27.55
3	14.45	28.35
4	14.15	28.8
5	13.75	28.05
6	13.35	28.45
7	13	29.15
8	13.45	27.5
9	13.6	26.5
10	12.8	27.35
11	12.4	27.85
12	12.3	28.4
13	12.2	28.65
14	13.4	25.1
15	12.95	25.95
16	12.9	26.5
17	11.85	27
18	11.35	28
19	11.15	28.7
20	11.25	27.4
21	10.75	27.7
22	10.5	28.35
23	9.65	28.45
24	10.25	27.25
25	10.75	26.55
26	11.7	26.35
27	11.6	25.9
28	11.9	25.05
29	12.6	24.05
30	11.9	24.5
31	11.1	25.2
32	10.55	25.15
33	10.05	25.95
34	9.35	26.6
35	9.3	27.25
36	9.2	27.8
37	7.5	28.25
38	8.55	27.45
39	8.5	27.05
40	8.05	27.2
41	7.85	26.8
42	7.3	27.4
43	6.8	26.85
44	7	26.5
45	7.55	26.3
46	8.55	26.3
47	9	25.85
48	8.6	25.65
49	9.4	25.55
50	8.45	25.05
51	8.85	24.6
52	9.65	24.7
53	10.55	24.35
54	11.05	23.9
55	10.55	23.55
56	9.45	23.35
57	9.2	23.9
58	8.35	23.9
59	7.35	24.75
60	7.4	25.45
61	6.6	25.75
62	6.1	26
63	5.8	26.95
64	5.65	25.8
65	5.3	26.1
66	6.4	25.4
67	5.4	25.25
68	5.35	24.7
69	4.8	25.05
70	4.2	25.55
71	6.4	24.8
72	6.55	24.3
73	7.4	24.25
74	5.45	24.2
75	4.3	24
76	4	24.25
77	3.35	23.3
78	4.85	23.05
79	4.3	22.75
80	5.85	23.4
81	5.9	23.55
82	7.55	23.7
83	6.85	23.25
84	7.65	23.1
85	6.95	22.55
86	6.1	22.6
87	5.5	22.6
88	4.7	22.1
89	3.8	21.85
90	4.65	21.2
91	4.15	20.35
92	5.3	20.4
93	5.6	20.75
94	5.8	21.95
95	6.4	21.95
96	6.55	21.15
97	7.45	21.95
98	7.4	21.55
99	7.75	21.2
100	7.65	20.65
101	6.95	19.8
102	6.6	20.1
103	6.05	20.2
104	5.4	19.65
105	5.35	19.05
106	5.8	18.25
107	6.3	19.1
108	7	18.9
109	7.15	17.9
110	7.35	18.2
111	8.2	20.05
112	8.3	19.45
113	8.3	18.5
114	8.75	18.8
115	9.05	18.2
116	9.35	17.7
117	8.9	17.65
118	8.45	17.2
119	10.05	17.2
120	10.4	16.75
121	8.6	20.9
122	8.65	21.3
123	8.65	21.9
124	8.65	22.5
125	8.95	22.8
126	9.95	22.65
127	8.95	22.2
128	9.65	21.9
129	10.55	22.3
130	10.9	22.85
131	11.35	23.45
132	12.05	23.4
133	12.3	22.75
134	11.7	22.15
135	11.15	22.05
136	10.85	21.5
137	10.85	21.05
138	9.6	21.3
139	9.85	20.7
140	9.35	20.6
141	9.25	19.65
142	9.95	19.8
143	10.7	20.35
144	11.3	20.7
145	12.35	21.6
146	13.1	21.3
147	12.85	20.75
148	12	20
149	11	19.85
150	10.35	19
151	9.9	18.65
152	10.6	18.15
153	11.4	18.3
154	11.4	19.25
155	12.35	18.8
156	12.8	19.75
157	12.15	18.1
158	11.05	17.5
159	11.95	17.25
160	12.25	17.5
161	13.05	17.4
162	13.75	18.15
163	13.5	18.65
164	13.65	19.25
165	14	19.9
166	15.2	18.2
167	15.5	17.15
168	13.9	17.1
169	13.75	16.6
170	12.15	16.4
171	7.8	13.7
172	8.85	13.35
173	9	12.7
174	9.7	12.1
175	8.05	12.9
176	7.7	13.25
177	6.8	13.2
178	6.6	13.45
179	6.2	12.55
180	5.4	12.85
181	5.7	12.25
182	5.2	11.9
183	5.15	11.35
184	5.85	11.2
185	6.1	11.75
186	7	12.35
187	7.05	12.45
188	7.9	12.5
189	8.55	12.1
190	7.85	11.85
191	7.1	11.95
192	6.9	11.5
193	6.85	10.9
194	6.4	10.7
195	5.9	10.3
196	6.4	10.25
197	7.05	10.05
198	7.35	10.5
199	7.65	11.1
200	8.1	11.2
201	8.8	11.4
202	8.3	10.55
203	9	10.9
204	9.35	10.5
205	10.15	11
206	10.4	10.55
207	10.9	10
208	11.55	10.2
209	11.75	10.85
210	10.1	8.65
211	11.05	9.1
212	11.85	9.8
213	12.85	10.65
214	12.9	11.7
215	13.6	11.1
216	14.05	11.75
217	14.5	11.8
218	14.3	12.45
219	17	12.9
220	15.8	12.6
221	15.85	12
222	16.7	12.2
223	16.25	11.7
224	15.55	11.15
225	14.8	11.35
226	14.45	10.75
227	13.75	10.45
228	12.8	10.1
229	13.15	9.8
230	12.45	9.3
231	11.8	8.95
232	11.1	8.45
233	10.35	7.7
234	10.1	6.75
235	11.3	7.95
236	12.35	8.45
237	13.1	8.95
238	13.2	9.35
239	14.1	10.05
240	11.5	7.5
241	11.35	6.9
242	11.95	6.75
243	12.4	7.1
244	12.25	7.6
245	12.95	7.6
246	13.45	7.95
247	13.35	8.25
248	13.75	9
249	14.3	9.3
250	14.85	9.55
251	15.1	10.25
252	15.45	10.55
253	16.35	10.85
254	16.75	11.5
255	16.25	10.2
