Actions	C1	C2
id1	19.7592925418	15.442292253
id2	22.399103331	16.039200386
id3	27.5144060822	10.6552885924
id4	15.2633598311	18.374690821
id5	20.1870802866	12.3433096105
id6	69.8475692429	14.7026350752
id7	64.2761507946	14.763532087
id8	57.367384919	11.5061642402
id9	57.22012304	18.6804530714
id10	53.3113423634	17.412518562
id11	58.4994016379	10.6403143823
id12	61.53805862	15.9109958293
id13	45.544368083	10.3101175147
id14	65.2934532943	14.7274908867
id15	60.1588373423	18.7881280026
id16	59.9945319264	19.2109866758
id17	48.82371914	18.0090877099
id18	50.5617369618	19.355867217
id19	65.7603331118	10.9745430973
id20	39.758910107	12.1698694123
id21	79.654801389	21.5424279994
id22	76.2664829087	19.5153929764
id23	75.0724298383	20.7879938827
id24	73.5091048877	23.7761116111
id25	75.8425179297	28.5630265627
id26	81.8198213663	39.289456012
id27	83.564005664	39.9098964487
id28	81.7127354216	31.6309962197
id29	83.6063753312	39.6463294731
id30	84.0469598451	35.6910750347
id31	87.1381702017	48.444999347
id32	88.3160793027	62.9412940941
id33	82.8495746199	42.5384230858
id34	88.5394248842	79.5922405969
id35	80.8851809311	72.0238128503
id36	84.1046182735	46.0306149781
id37	82.9389124682	70.7516754911
id38	88.7276702463	41.7676024452
id39	86.1453252853	41.7976097398
id40	87.1844047745	53.2381658408
id41	88.8090530725	79.2254302737
id42	85.0542037365	79.940357815
id43	83.0967005348	43.0788281882
id44	85.997628088	41.255110487
id45	81.9738485643	56.3174454247
id46	86.1046712297	81.5619899101
id47	80.4243582472	88.6777903393
id48	83.1383051992	89.5865942641
id49	88.9665964143	83.7778923941
id50	84.6040963285	85.2007298459
id51	71.0972179597	85.956502384
id52	68.9815265504	86.2012613545
id53	78.5155313856	85.0702681595
id54	65.7797888358	87.2031125214
id55	60.9408904866	83.0108686117
id56	79.4449329112	85.2112729328
id57	68.7107616922	80.1145748636
id58	65.3802585951	85.799652138
id59	55.5013222576	86.1579794131
id60	70.8045133824	80.6008051063
id61	70.6835277253	84.662504297
id62	71.982034951	83.5257698304
id63	72.6737562341	87.3803428925
id64	55.5545617248	80.6057680365
id65	71.9005077372	89.6330558039
id66	47.5112227818	79.5631212964
id67	50.9267187567	78.2002538575
id68	48.6395508934	78.126706612
id69	48.6915397528	80.9562150586
id70	48.0040397337	78.7716034133
id71	42.7227341244	70.2692120501
id72	40.6925800207	77.3517318168
id73	38.1001669541	72.2253784279
id74	43.0380767039	72.386951769
id75	36.8739434092	74.3523432053
id76	28.9613281335	34.5828761684
id77	21.4393196924	45.0189142702
id78	31.6707778311	49.7293829653
id79	32.1107038797	37.617790465
id80	21.7342047009	59.2604569332
id81	32.6979654384	50.2995982928
id82	19.5005568545	35.441369612
id83	25.5925525662	38.5861712633
id84	31.1355447525	67.7314370563
id85	18.6717262661	42.5366463907
id86	31.1445283633	58.8871765423
id87	31.1251568227	45.5377262199
id88	17.5937827559	43.1374300892
id89	30.8772384897	42.2028522261
id90	21.9270856133	48.7607563143
id91	94.1977118379	4.09522116449
id92	99.2061238299	1.55997858938
id93	90.0466179458	9.43267835919
id94	98.7997825163	9.86913655029
id95	94.3435231268	9.50161166383
id96	99.2737721441	2.22090736272
id97	97.4552300913	8.36698679279
id98	96.6298720053	5.19014976646
id99	92.8904183614	3.41068714035
id100	92.2746633635	0.680676241069
id101	95.8867771902	2.87011177242
id102	98.1019187901	0.450768100854
id103	99.036092818	6.93705607297
id104	99.2385479956	8.96567164984
id105	98.9967483602	5.76953404019
id106	90.1314449669	7.45298267311
id107	91.7182159054	2.99888068728
id108	96.628961043	5.24964135416
id109	94.1375044773	9.39042463251
id110	96.1216390963	3.41352657418
id111	92.5247484425	8.6166471646
id112	94.7719749668	7.82325111787
id113	93.518416302	1.97333672063
id114	95.3463704055	8.16810847217
id115	91.7130226075	7.91671918882
id116	13.8264976691	98.0605103916
id117	12.3524814383	90.0750472015
id118	9.4291081545	98.6255456805
id119	0.74897778293	92.7139703369
id120	4.02879166805	95.2726617843
id121	6.34476006601	94.7290001305
id122	11.6474649108	90.0180864973
id123	0.822503839647	91.2686328624
id124	1.86939351818	90.6841668846
id125	14.6203879676	98.5444893474
id126	1.29192011603	95.0212000675
id127	4.73844366041	93.1457980031
id128	5.26934337457	96.469136133
id129	8.79919681372	93.6083458561
id130	2.86623000965	93.2877630315
id131	1.85632535751	95.5552594366
id132	10.7406423304	93.8023806211
id133	1.19851845131	91.7855614456
id134	5.5991186344	96.0443486758
id135	11.739327521	93.8026468185
id136	12.0174136434	96.2292651003
id137	6.47390395996	93.7242014429
id138	7.44227402956	97.0288066056
id139	6.30770846646	96.9412321164
id140	6.91259868643	92.4508329644
id141	50.3583738409	47.3792286943
id142	45.7158099713	40.6222136364
id143	49.2585505642	51.991732163
id144	54.3648407106	39.3558924215
id145	53.9785419821	49.7729224098
id146	47.6217972578	41.6035803576
id147	46.2314604922	50.3305426485
id148	51.6228960343	52.1835875009
id149	52.9246938509	46.6890394145
id150	52.3373517631	44.0960988648
id151	46.031332449	44.6939692491
id152	45.0490127857	33.5879590057
id153	52.7430402032	31.1078215255
id154	45.9179887596	32.4824898055
id155	53.8046791684	34.4788401238
id156	45.2348736928	51.0383893647
id157	46.2128347177	51.0985813504
id158	51.7353476943	50.9045487822
id159	54.5241131845	44.4769104755
id160	52.9874724961	30.9067317464
id161	52.6741853776	42.7831435816
id162	52.1515792786	32.6685924371
id163	52.4896492138	53.3640586125
id164	45.6113949828	38.106171688
id165	50.6397734717	50.701483279
