Key	C1	C2
1	-3	-3
2	-3	3
3	3	-3
4	3	3
5	-0.417091	0.114782
6	0.054031	0.296411
7	-0.337597	0.346704
8	-0.0469	-0.319833
9	0.000955	-0.07788
10	0.163704	-0.171811
11	-0.140118	0.163781
12	0.228946	-0.032098
13	0.379642	-0.006396
14	-0.38736	-0.217393
15	-0.077707	-0.28845
16	-0.141468	-0.132688
17	0.132764	-0.312654
18	-0.157673	-0.279198
19	-0.25882	-0.08331
20	0.032572	-0.274695
21	-0.333664	0.15261
22	-0.48088	0.023882
23	-0.06806	-0.368618
24	0.36105	-0.001467
25	0.276191	-0.309596
26	-0.198664	0.024887
27	-0.256391	-0.000411
28	-0.028428	-0.240332
29	-0.055645	0.395318
30	0.074451	-0.493023
31	-0.026067	0.361214
32	0.383108	-0.118063
33	-0.021727	0.357367
34	0.102986	-0.30644
35	0.468553	0.087124
36	0.12418	-0.466284
37	-0.257262	-0.344154
38	0.164727	-0.305763
39	0.1532	-0.166946
40	-0.196484	0.361061
41	-0.164265	-0.423242
42	-0.115913	0.141906
43	0.234838	-0.284737
44	0.435577	-0.065952
45	-0.289824	-0.281036
46	-0.218331	0.339873
47	-0.202617	-0.282583
48	-0.026528	0.28171
49	-0.483938	-0.054453
50	0.254847	0.029124
51	0.151301	0.328701
52	0.363223	0.115736
53	0.289041	0.174952
54	-0.150278	0.013699
55	-0.339199	0.258462
56	-0.350247	-0.233266
57	0.344694	0.26715
58	-0.114448	0.455282
59	0.244537	-0.131137
60	0.225986	0.374462
61	0.020745	-0.433563
62	-0.395291	0.212906
63	0.116611	-0.11174
64	0.257534	-0.282931
65	0.343805	0.324066
66	0.251776	0.116866
67	0.086153	-0.20082
68	0.356909	0.277047
69	0.312987	-0.043657
70	-0.114046	-0.111282
71	0.298053	0.181913
72	0.118238	-0.21706
73	-0.173326	-0.154074
74	0.030702	0.199872
75	0.213141	0.051191
76	0.251399	0.427102
77	-0.269086	-0.108423
78	0.033437	0.399934
79	0.457203	0.110673
80	-0.074223	0.193374
81	-0.359819	0.249111
82	0.124456	-0.352495
83	0.341155	0.098995
84	-0.005881	0.104674
85	-0.112263	0.451392
86	0.072218	0.175771
87	0.334987	0.147189
88	-0.245983	0.431956
89	0.187681	0.127815
90	0.367402	-0.045258
91	0.086355	-0.484465
92	-0.055052	-0.032666
93	-0.120351	-0.165883
94	0.185503	0.009657
95	-0.063001	-0.215206
96	0.412701	0.272724
97	0.418969	-0.23997
98	0.265939	0.203513
99	-0.414731	0.061117
100	0.122346	-0.059322
101	-0.237728	-0.371516
