Key	C1	C2
1	3.277701	0.814082
2	0.387577	0.17678
3	0.268546	0.582963
4	2.031145	0.244597
5	0.188677	0.46128
6	3.525472	0.265579
7	2.229583	0.682189
8	3.392074	0.420976
9	3.589815	0.832527
10	1.227873	0.810909
11	1.300699	0.146538
12	3.596968	0.421791
13	3.106757	0.779664
14	0.221139	0.612603
15	1.496841	0.495985
16	2.860498	0.535719
17	1.45071	0.142352
18	1.745799	0.066373
19	1.4048	0.32968
20	1.7696	0.777809
21	0.464511	0.672442
22	2.750803	0.16552
23	1.571006	0.091428
24	1.18166	0.857799
25	0.661957	0.612812
26	0.828567	0.798048
27	3.313914	0.216602
28	3.625645	0.538592
29	3.611238	0.584716
30	2.904519	0.465036
31	3.080431	0.24549
32	3.851167	0.574214
33	0.944956	0.077006
34	3.834215	0.224878
35	2.179064	0.784896
36	2.716449	0.944268
37	0.02978	0.931252
38	0.095525	0.349743
39	3.835506	0.889721
40	1.142732	0.811691
41	3.747439	0.654886
42	0.948862	0.122011
43	0.160755	0.702042
44	3.288779	0.737797
45	1.35625	0.029101
46	0.91626	0.59616
47	1.252876	0.500998
48	2.471178	0.39643
49	2.364922	0.992772
50	2.172301	0.283717
51	0.671267	0.055467
52	2.165402	0.152
53	2.661288	0.467768
54	1.92646	0.74119
55	1.899647	0.649203
56	3.82986	0.726794
57	1.133497	0.516173
58	2.309857	0.767935
59	1.371371	0.956664
60	0.151858	0.284416
61	2.096938	0.411357
62	1.30049	0.720155
63	3.534799	0.181775
64	1.217877	0.460971
65	2.726977	0.699328
66	0.682141	0.054686
67	0.837813	0.912877
68	0.799211	0.501879
69	0.042015	0.689603
70	0.520977	0.079651
71	0.71972	0.445045
72	0.197504	0.36273
73	1.724494	0.670107
74	3.57454	0.08528
75	1.416691	0.723741
76	3.037057	0.548241
77	3.644992	0.349585
78	0.049575	0.013442
79	1.023898	0.977225
80	1.815563	0.32859
81	2.312471	0.520445
82	0.855281	0.42998
83	0.760641	0.724534
84	1.48494	0.793583
85	2.725697	0.764628
86	2.789323	0.243674
87	3.803611	0.25148
88	1.591552	0.431951
89	3.102531	0.674293
90	0.565235	0.679348
91	0.985402	0.187597
92	2.948159	0.311962
93	1.323618	0.644543
94	0.552512	0.648435
95	0.635387	0.474052
96	3.928676	0.204357
97	0.780925	0.800335
98	1.872623	0.814694
99	2.759808	0.162941
100	3.504794	0.648843
101	3.683266	0.59175
102	2.441121	0.097041
103	0.031457	0.462131
104	3.387011	0.07938
105	1.982598	0.588441
106	2.696483	0.24238
107	1.159278	0.190088
108	0.576024	0.996298
109	3.538351	0.281543
110	3.304712	0.77258
111	0.438501	0.884463
112	1.937908	0.82629
113	1.434005	0.338369
114	3.112876	0.655144
115	0.413395	0.150636
116	1.358768	0.479656
117	1.731313	0.95869
118	2.130866	0.004658
119	0.057906	0.933944
120	1.365225	0.699019
121	3.101071	0.982575
122	0.331075	0.263808
123	1.086791	0.353972
124	1.996396	0.528335
125	3.845884	0.795806
126	0.985853	0.434387
127	1.688165	0.938172
128	0.161953	0.829518
129	0.287702	0.857928
130	0.972789	0.916516
131	1.30506	0.621873
132	3.515395	0.462665
133	1.736284	0.812699
134	1.788111	0.112125
135	0.692963	0.831389
136	0.459059	0.283671
137	1.421594	0.942622
138	3.222115	0.997386
139	3.055062	0.603635
140	3.439667	0.514822
141	2.742587	0.603127
142	0.258403	0.395579
143	1.707936	0.209115
144	3.110911	0.81924
145	2.199103	0.812362
146	1.784882	0.387625
147	1.886291	0.684541
148	2.886793	0.942807
149	2.7774	0.706607
150	1.463492	0.491627
151	2.073286	0.916573
152	3.728174	0.954035
153	0.0787	0.263543
154	1.37351	0.62181
155	0.698877	0.482423
156	0.448893	0.098618
157	0.735566	0.119708
158	2.724216	0.58073
159	1.635384	0.533324
160	1.288393	0.847085
161	1.18528	0.543564
162	0.452272	0.70928
163	1.020964	0.583399
164	3.465723	0.52496
165	2.532696	0.959479
166	0.985995	0.008335
167	2.750285	0.620354
168	2.577899	0.245998
169	3.036657	0.930898
170	1.564616	0.954967
171	1.518451	0.978359
172	3.142274	0.434848
173	1.483197	0.185676
174	1.293469	0.897792
175	3.176521	0.047388
176	0.398666	0.166009
177	1.717029	0.111247
178	2.777236	0.026691
179	2.702432	0.510408
180	1.807774	0.762573
181	2.882574	0.514512
182	3.29973	0.231124
183	0.725724	0.585824
184	2.92698	0.244504
185	1.434889	0.489006
186	3.61203	0.621951
187	1.258017	0.242269
188	1.286561	0.568048
189	0.689474	0.760472
190	0.598052	0.279905
191	3.499457	0.153595
192	3.093691	0.158748
193	1.431273	0.568599
194	0.460369	0.295192
195	0.884156	0.513333
196	3.275009	0.432164
197	1.164767	0.62918
198	0.039219	0.052828
199	2.412745	0.512431
200	0.833625	0.325255
201	0.725273	3.965634
202	0.573147	2.923034
203	1.177763	2.565923
204	0.661644	3.973707
205	0.652245	2.253018
206	0.812158	3.260725
207	0.652892	1.693079
208	0.963136	4.958545
209	1.328618	3.566781
210	1.49669	5.272268
211	1.152723	3.543348
212	1.369882	2.380564
213	1.49389	4.247095
214	1.34549	5.278332
215	0.819666	4.616232
216	1.107822	4.153609
217	1.283312	4.321069
218	0.748762	1.619142
219	0.821916	4.852253
220	0.90795	3.163114
221	1.060966	1.963245
222	1.20534	4.321613
223	1.477937	5.03948
224	1.097946	2.953946
225	0.938634	3.012962
226	0.780331	5.235518
227	0.903332	4.814365
228	0.5591	3.571814
229	1.173636	2.044423
230	1.347315	5.234
231	1.288732	2.683106
232	1.376571	2.091436
233	0.892292	3.81059
234	0.703477	3.956213
235	1.142235	4.972135
236	1.001787	4.217102
237	0.777779	4.493622
238	0.652697	4.836891
239	0.721173	2.798064
240	0.967501	5.367249
241	1.334662	2.597372
242	1.368845	1.77
243	0.776253	4.234287
244	0.746947	4.667021
245	1.411469	4.074821
246	0.740597	4.389994
247	1.184165	3.031102
248	1.452709	4.177391
249	1.341934	4.679407
250	0.759816	3.996869
251	1.273906	1.534234
252	0.891859	5.165834
253	1.011748	3.99935
254	1.054506	2.504006
255	1.021894	4.436951
256	1.249096	3.361231
257	0.596855	2.324431
258	0.64177	4.391472
259	1.041153	1.863353
260	1.220983	4.447128
261	0.850268	2.060747
262	1.312062	1.586404
263	0.707436	3.389818
264	1.019011	4.508529
265	0.783086	2.760037
266	0.7404	1.656725
267	0.5208	1.722157
268	1.381679	1.903451
269	0.658734	2.418634
270	0.611377	1.720026
271	1.099438	3.206013
272	1.361092	4.829104
273	0.876255	2.389184
274	0.690748	5.011891
275	0.701393	3.863155
276	1.253097	4.650538
277	1.057211	3.862135
278	1.241162	1.7
279	0.840611	4.937659
280	0.519795	2.816374
281	1.23516	3.869624
282	0.584467	1.922548
283	1.418398	1.71
284	1.370529	3.740063
285	0.966071	4.68502
286	0.748149	4.103231
287	0.533105	2.028217
288	0.813012	4.871033
289	1.380626	5.043905
290	1.038899	5.385811
291	1.174998	4.070992
292	1.482927	3.678969
293	0.795556	4.257588
294	0.550885	1.687598
295	0.597946	3.506649
296	1.219187	3.456902
297	1.422764	3.827562
298	1.265363	1.935044
299	1.139539	2.153101
300	0.668471	3.331001
301	3.841499	2.712392
302	3.265874	3.353799
303	2.419956	2.641744
304	3.131922	2.59268
305	1.919251	3.015192
306	3.653976	2.494605
307	3.21453	1.966662
308	2.781111	2.277463
309	2.402959	2.802239
310	3.182097	2.135258
311	3.198566	3.048673
312	2.505896	2.598232
313	2.983629	2.547538
314	2.700613	2.653876
315	2.507695	2.471939
316	2.878039	2.268676
317	2.568892	2.687723
318	2.69394	3.019875
319	3.527832	3.153919
320	3.203677	2.218877
321	2.777954	2.822901
322	3.78305	2.08902
323	3.304181	3.017798
324	3.977555	2.505972
325	3.263746	2.587482
326	3.045912	3.185275
327	2.879968	1.668478
328	3.233598	2.545167
329	4.229498	2.065403
330	2.379583	1.876676
331	3.162948	2.754962
332	2.428762	2.33817
333	3.541297	2.33867
334	2.638412	2.533631
335	2.783332	2.32586
336	3.186008	2.274951
337	2.027834	2.851225
338	2.191808	2.17414
339	2.681085	2.396655
340	2.987601	2.69732
341	2.783705	2.178922
342	2.726431	2.496669
343	3.236021	2.751028
344	3.104434	2.561753
345	2.393173	3.532294
346	2.597097	1.977501
347	2.878632	2.90941
348	3.326832	2.811118
349	3.196477	2.166446
350	2.653013	2.265335
351	2.855684	2.526266
352	3.032148	2.495063
353	2.70028	2.469205
354	3.716787	1.876565
355	2.51471	3.181043
356	3.02421	2.312406
357	3.157008	2.537848
358	2.756181	2.614829
359	2.742568	2.867741
360	2.592192	2.704054
361	2.626225	2.598176
362	2.508567	1.939792
363	3.099795	2.887828
364	3.283033	3.137479
365	3.23753	1.924833
366	3.104924	1.886308
367	2.502861	2.470116
368	3.619561	2.532584
369	3.154704	2.162704
370	2.889961	2.274144
371	2.669538	2.488717
372	3.391711	2.002519
373	3.041719	2.793216
374	2.94886	2.523832
375	2.974983	2.559658
376	2.85135	3.138343
377	3.041585	2.1891
378	3.27871	3.120111
379	3.154729	2.922001
380	2.993547	2.433338
381	2.452315	2.625794
382	2.833249	3.067828
383	2.972504	2.630939
384	2.882325	2.690261
385	2.810947	2.659502
386	2.286906	2.470892
387	2.895769	3.025914
388	2.395709	2.891312
389	2.873213	3.188846
390	2.678611	2.335079
391	2.767651	2.726053
392	2.288566	2.79594
393	3.37523	2.588055
394	3.366669	3.025123
395	2.849598	2.751661
396	2.636088	2.056805
397	2.9383	2.321199
398	3.080906	2.209603
399	2.404517	2.641618
400	3.248655	2.297291
