Key	C1	C2
1	0	0
2	0.1	-0.1
3	0.2	-0.2
4	0.3	-0.3
5	0.4	-0.4
6	0.5	-0.5
7	0.6	-0.6
8	0.7	-0.7
9	0.8	-0.8
10	0.9	-0.9
11	1	-1
12	0.1	0.1
13	0.2	0
14	0.3	-0.1
15	0.4	-0.2
16	0.5	-0.3
17	0.6	-0.4
18	0.7	-0.5
19	0.8	-0.6
20	0.9	-0.7
21	1	-0.8
22	1.1	-0.9
23	0.2	0.2
24	0.3	0.1
25	0.4	0
26	0.5	-0.1
27	0.6	-0.2
28	0.7	-0.3
29	0.8	-0.4
30	0.9	-0.5
31	1	-0.6
32	1.1	-0.7
33	1.2	-0.8
34	0.3	0.3
35	0.4	0.2
36	0.5	0.1
37	0.6	0
38	0.7	-0.1
39	0.8	-0.2
40	0.9	-0.3
41	1	-0.4
42	1.1	-0.5
43	1.2	-0.6
44	1.3	-0.7
45	0.4	0.4
46	0.5	0.3
47	0.6	0.2
48	0.7	0.1
49	0.8	0
50	0.9	-0.1
51	1	-0.2
52	1.1	-0.3
53	1.2	-0.4
54	1.3	-0.5
55	1.4	-0.6
56	0.5	0.5
57	0.6	0.4
58	0.7	0.3
59	0.8	0.2
60	0.9	0.1
61	1	0
62	1.1	-0.1
63	1.2	-0.2
64	1.3	-0.3
65	1.4	-0.4
66	1.5	-0.5
67	0.6	0.6
68	0.7	0.5
69	0.8	0.4
70	0.9	0.3
71	1	0.2
72	1.1	0.1
73	1.2	0
74	1.3	-0.1
75	1.4	-0.2
76	1.5	-0.3
77	1.6	-0.4
78	0.7	0.7
79	0.8	0.6
80	0.9	0.5
81	1	0.4
82	1.1	0.3
83	1.2	0.2
84	1.3	0.1
85	1.4	0
86	1.5	-0.1
87	1.6	-0.2
88	1.7	-0.3
89	0.8	0.8
90	0.9	0.7
91	1	0.6
92	1.1	0.5
93	1.2	0.4
94	1.3	0.3
95	1.4	0.2
96	1.5	0.1
97	1.6	0
98	1.7	-0.1
99	1.8	-0.2
100	0.9	0.9
101	1	0.8
102	1.1	0.7
103	1.2	0.6
104	1.3	0.5
105	1.4	0.4
106	1.5	0.3
107	1.6	0.2
108	1.7	0.1
109	1.8	0
110	1.9	-0.1
111	1	1
112	1.1	0.9
113	1.2	0.8
114	1.3	0.7
115	1.4	0.6
116	1.5	0.5
117	1.6	0.4
118	1.7	0.3
119	1.8	0.2
120	1.9	0.1
121	2	0
122	0.265107	-0.128992
123	1.557467	-0.396474
124	1.52641	-0.271604
125	1.107686	0.245652
126	0.695961	-0.610393
127	1.037322	0.791371
128	0.224731	-0.180042
129	0.771115	-0.637663
130	1.056659	-0.46218
131	1.690666	-0.270622
132	0.180777	-0.036863
133	0.65051	-0.136421
134	0.492933	0.26136
135	0.893797	-0.859765
136	1.821036	0.093296
137	1.242952	-0.70559
138	0.854639	0.648296
139	1.432244	0.209916
140	0.949382	0.879438
141	1.663758	-0.241367
142	1.376285	-0.250125
143	0.813344	0.270215
144	1.510183	-0.296802
145	0.572125	0.560099
146	1.161885	0.084911
147	0.854425	0.423521
148	1.431459	-0.127281
149	0.94789	-0.101034
150	0.9618	-0.746511
151	1.777433	0.20838
152	1.023917	-0.05908
153	0.912018	0.903901
154	0.878748	-0.653858
155	0.931269	0.436686
156	1.502629	0.171687
157	0.342548	0.124786
158	0.302577	0.190296
159	1.000463	0.652692
160	0.488955	0.050091
161	0.943884	0.440126
162	0.611217	-0.423593
163	0.443179	0.198084
164	0.724292	0.62161
165	0.992151	-0.269601
166	1.106272	-0.108561
167	0.678637	0.524368
168	1.06104	0.146657
169	1.49142	0.497287
170	0.997325	-0.245438
171	1.320587	0.499692
172	0.848266	0.356663
173	1.678349	-0.059541
174	0.914774	-0.29108
175	1.034869	-0.290679
176	1.075801	0.237908
177	0.94301	0.022146
178	1.775762	-0.102411
179	1.160141	0.17461
180	1.400917	0.436043
181	1.042589	-0.479164
182	1.467247	0.147473
183	1.374194	-0.529918
184	0.731071	0.629231
185	1.394098	-0.0703
186	1.5299	0.344513
187	1.30349	0.640155
188	0.645369	0.629674
189	0.482559	-0.11257
190	1.178962	-0.80848
191	1.117039	0.203908
192	0.749177	0.127407
193	1.58325	-0.27799
194	1.338762	0.366518
195	1.04004	0.588902
196	0.841599	-0.233431
197	0.552561	0.336476
198	0.911021	0.673821
199	0.703316	0.410075
200	1.041359	0.756345
201	1.421715	0.3478
202	1.026358	0.480983
203	0.964612	-0.808336
204	0.234238	-0.13874
205	0.287398	0.258791
206	0.492555	0.273141
207	0.983836	-0.855575
208	1.511837	0.071676
209	1.378887	0.219567
210	1.186726	-0.635659
211	0.263186	0.093099
212	0.307809	-0.218814
213	0.266297	0.016253
214	1.598802	0.118724
215	1.243589	-0.684193
216	1.361639	0.324897
217	0.479347	0.114051
218	1.812634	0.021236
219	1.273038	0.40824
220	1.429716	-0.383796
221	0.960245	0.768455
222	1.248831	0.700274
223	1.040149	0.505094
224	1.139803	0.56955
225	0.792018	0.597071
226	1.629657	-0.234071
227	1.353563	-0.300808
228	0.012576	-0.009423
229	1.497507	-0.052104
230	1.714172	-0.24505
231	1.052005	0.734785
232	1.180727	-0.527694
233	0.515031	0.504969
234	0.801003	-0.102383
235	0.755063	-0.564759
236	1.575371	0.26553
237	1.238326	-0.754891
238	1.731866	-0.169388
239	0.80666	0.43857
240	1.771463	0.174233
241	0.984289	0.968012
242	0.278801	0.071375
243	1.184539	0.369007
244	1.10555	-0.852265
245	0.181669	-0.165231
246	1.032604	0.555642
247	0.975554	-0.712834
248	0.944411	-0.741957
249	1.037707	0.702893
250	1.099205	0.74524
251	1.544776	-0.425607
252	1.345067	-0.569814
253	1.117072	0.301035
254	0.706024	0.205411
255	1.195957	0.526967
256	1.378489	-0.219258
257	0.877512	0.02624
258	1.605244	-0.211454
259	1.508727	-0.262151
260	1.14607	-0.411195
261	0.972369	-0.780041
262	1.289155	0.289145
263	1.078862	0.910614
264	0.224546	-0.083506
265	0.76132	-0.467345
266	0.92981	0.59332
267	0.660435	-0.57892
268	1.563167	-0.277107
269	0.596559	0.236656
270	0.603124	-0.355257
271	1.306702	-0.298627
272	0.802159	-0.174838
273	1.215736	-0.414727
274	0.344939	0.231997
275	1.314365	0.52366
276	1.629165	-0.283693
277	0.833363	-0.127844
278	1.132074	0.389947
279	1.223355	0.073262
