Key	C1	C2
1	0.15	0
2	0.15	0.25
3	0.15	0.5
4	0.15	0.75
5	0.15	1
6	0.15	1.25
7	0.15	1.5
8	0.15	1.75
9	0.15	2
10	0.15	2.25
11	0.15	2.5
12	0.15	2.75
13	0.15	3
14	-0.15	3
15	-0.15	2.75
16	-0.15	2.5
17	-0.15	2.25
18	-0.15	2
19	-0.15	1.75
20	-0.15	1.5
21	-0.15	1.25
22	-0.15	1
23	-0.15	0.75
24	-0.15	0.5
25	-0.15	0.25
26	-0.15	0
27	0.1590287	0.414803
28	-0.1590287	2.585197
29	0.1615557	0.8163109
30	-0.1615557	2.183689
31	0.1627658	1.628365
32	-0.1627658	1.371635
33	0.1638636	0.778645
34	-0.1638636	2.221355
35	0.1743435	0.5312497
36	-0.1743435	2.46875
37	0.1781862	1.774766
38	-0.1781862	1.225234
39	0.1821549	1.170735
40	-0.1821549	1.829265
41	0.1851598	0.4267521
42	-0.1851598	2.573248
43	0.1882799	1.410506
44	-0.1882799	1.589494
45	0.188569	1.376922
46	-0.188569	1.623078
47	0.1966325	1.7077
48	-0.1966325	1.2923
49	0.2075332	1.206062
50	-0.2075332	1.793938
51	0.2076227	1.103336
52	-0.2076227	1.896664
53	0.2114885	0.941725
54	-0.2114885	2.058275
55	0.2118931	2.819647
56	-0.2118931	0.1803527
57	0.212571	0.2896754
58	-0.212571	2.710325
59	0.2128912	1.398912
60	-0.2128912	1.601088
61	0.2147423	2.239866
62	-0.2147423	0.7601344
63	0.2191172	0.1423022
64	-0.2191172	2.857698
65	0.220019	0.1433141
66	-0.220019	2.856686
67	0.2225046	0.4031978
68	-0.2225046	2.596802
69	0.2242973	0.4770325
70	-0.2242973	2.522967
71	0.2300088	1.972408
72	-0.2300088	1.027592
73	0.2300904	0.1130746
74	-0.2300904	2.886925
75	0.2306559	1.760406
76	-0.2306559	1.239594
77	0.2345368	1.358276
78	-0.2345368	1.641724
79	0.2382129	0.5116846
80	-0.2382129	2.488315
81	0.2418566	0.9933721
82	-0.2418566	2.006628
83	0.2460321	2.472903
84	-0.2460321	0.5270968
85	0.2465841	1.129498
86	-0.2465841	1.870502
87	0.2491534	2.61987
88	-0.2491534	0.3801298
89	0.2494161	0.329157
90	-0.2494161	2.670843
91	0.2566993	0.709393
92	-0.2566993	2.290607
93	0.2571354	2.745335
94	-0.2571354	0.2546655
95	0.2576924	0.5191773
96	-0.2576924	2.480823
97	0.2598367	0.4058427
98	-0.2598367	2.594157
99	0.2618317	1.324411
100	-0.2618317	1.675589
101	0.2634652	1.329586
102	-0.2634652	1.670414
103	0.2648148	0.5025863
104	-0.2648148	2.497414
105	0.2660564	1.526218
106	-0.2660564	1.473782
107	0.2693419	1.218527
108	-0.2693419	1.781473
109	0.2696098	1.901248
110	-0.2696098	1.098752
111	0.2699736	2.191088
112	-0.2699736	0.8089122
113	0.271743	0.1616855
114	-0.271743	2.838314
115	0.2728466	2.388412
116	-0.2728466	0.6115876
117	0.2758365	0.5975127
118	-0.2758365	2.402487
119	0.2778668	1.449906
120	-0.2778668	1.550094
121	0.2803567	0.4630024
122	-0.2803567	2.536998
123	0.2834706	2.363583
124	-0.2834706	0.6364175
125	0.2842297	1.212199
126	-0.2842297	1.787801
127	0.2895141	0.08353711
128	-0.2895141	2.916463
129	0.293201	1.312039
130	-0.293201	1.687961
131	0.2970828	0.4075718
132	-0.2970828	2.592428
133	0.2983451	0.06802379
134	-0.2983451	2.931976
135	0.3016371	0.3751969
136	-0.3016371	2.624803
137	0.305449	1.232012
138	-0.305449	1.767988
139	0.3074712	0.635418
140	-0.3074712	2.364582
141	0.307828	1.768243
142	-0.307828	1.231757
143	0.3096033	1.735787
144	-0.3096033	1.264213
145	0.3111458	1.635374
146	-0.3111458	1.364626
147	0.3123868	0.8317943
148	-0.3123868	2.168206
149	0.314158	1.156146
150	-0.314158	1.843854
151	0.3182379	1.477028
152	-0.3182379	1.522972
153	0.3216316	1.264257
154	-0.3216316	1.735743
155	0.3218975	1.063381
156	-0.3218975	1.936619
157	0.3264251	1.701107
158	-0.3264251	1.298893
159	0.3291699	1.036581
160	-0.3291699	1.963419
161	0.3311433	0.1206059
162	-0.3311433	2.879394
163	0.3371696	0.7681692
164	-0.3371696	2.231831
165	0.3376605	1.012583
166	-0.3376605	1.987417
167	0.3379613	0.55048
168	-0.3379613	2.44952
169	0.3414081	0.4471486
170	-0.3414081	2.552851
171	0.3425257	0.3337976
172	-0.3425257	2.666202
173	0.3595862	0.03188951
174	-0.3595862	2.96811
175	0.3711733	0.04717409
176	-0.3711733	2.952826
